pdb_id	dimension	value	f1
13PK	n_true	4.0	0.0
1A26	n_true	3.0	0.0
1A4L	n_true	6.0	0.5
1A8H	n_true	8.0	0.25
1ADN	n_true	4.0	0.75
1AF7	n_true	2.0	0.5
1AGM	n_true	5.0	0.0
1AGY	n_true	5.0	0.4
1AH7	n_true	8.0	1.0
1AHB	n_true	3.0	0.3333
1AJ0	n_true	2.0	0.0
1AK0	n_true	10.0	0.9
1AKO	n_true	7.0	0.7143
1AM5	n_true	7.0	0.1429
1AMY	n_true	3.0	0.0
1AOP	n_true	8.0	0.875
1AQ2	n_true	8.0	0.75
1AST	n_true	5.0	0.8
1B6B	n_true	5.0	0.0
1BF2	n_true	8.0	0.375
1BG0	n_true	8.0	0.625
1BH2	n_true	5.0	0.0
1BIB	n_true	3.0	0.0
1BIX	n_true	8.0	0.875
1BOL	n_true	6.0	0.5
1BOO	n_true	3.0	0.0
1BQC	n_true	7.0	0.0
1BS1	n_true	8.0	0.75
1BS9	n_true	5.0	0.6
1BSZ	n_true	7.0	0.0
1BT3	n_true	7.0	0.0
1BTL	n_true	6.0	0.6667
1BU7	n_true	3.0	0.6667
1BVV	n_true	5.0	0.4
1BVZ	n_true	3.0	0.3333
1BWZ	n_true	5.0	0.6
1BYA	n_true	5.0	0.0
1BZC	n_true	5.0	0.6
1C82	n_true	4.0	0.5
1CA2	n_true	6.0	0.6667
1CDG	n_true	5.0	0.0
1CEL	n_true	4.0	0.25
1CHD	n_true	5.0	0.0
1CHK	n_true	3.0	0.0
1CJY	n_true	5.0	0.2
1CNS	n_true	2.0	0.0
1COY	n_true	3.0	0.0
1CV2	n_true	5.0	0.0
1CVR	n_true	4.0	0.0
1CWY	n_true	3.0	0.3333
1CZ1	n_true	2.0	0.5
1CZF	n_true	6.0	0.0
1D3G	n_true	7.0	0.0
1D6M	n_true	6.0	0.5
1D6O	n_true	6.0	0.5
1DE3	n_true	3.0	0.6667
1DEU	n_true	4.0	0.25
1DGK	n_true	3.0	0.0
1DGS	n_true	9.0	0.2222
1DI1	n_true	5.0	0.2
1DIN	n_true	7.0	0.0
1DJ1	n_true	3.0	0.3333
1DJX	n_true	6.0	0.0
1DLG	n_true	6.0	0.3333
1DNP	n_true	6.0	0.1667
1DPX	n_true	6.0	0.0
1E0C	n_true	7.0	0.2857
1EA0	n_true	6.0	0.0
1EB6	n_true	5.0	0.6
1ECL	n_true	7.0	0.7143
1EH5	n_true	5.0	0.6
1EH6	n_true	5.0	0.6
1EPW	n_true	5.0	0.4
1ESC	n_true	5.0	0.6
1ET0	n_true	3.0	0.0
1EU1	n_true	2.0	0.0
1EUG	n_true	4.0	0.5
1EUU	n_true	3.0	0.0
1EX1	n_true	2.0	0.0
1EXP	n_true	5.0	0.6
1EYQ	n_true	4.0	0.25
1EZF	n_true	4.0	0.0
1F48	n_true	7.0	0.2857
1FA0	n_true	6.0	0.6667
1FCQ	n_true	5.0	0.2
1FGH	n_true	6.0	0.1667
1FHL	n_true	3.0	0.0
1FNB	n_true	5.0	0.2
1FOA	n_true	2.0	0.0
1FVA	n_true	7.0	0.4286
1FY2	n_true	5.0	0.8
1G6T	n_true	7.0	0.0
1G8P	n_true	1.0	0.0
1GA8	n_true	8.0	0.5
1GAL	n_true	1.0	1.0
1GCU	n_true	6.0	0.3333
1GHS	n_true	4.0	0.25
1GOJ	n_true	7.0	0.5714
1GP5	n_true	4.0	0.75
1GQ8	n_true	5.0	0.0
1GTK	n_true	7.0	0.1429
1H3I	n_true	5.0	0.2
1HPL	n_true	5.0	0.2
1HQC	n_true	5.0	0.0
1HS6	n_true	7.0	0.8571
1I1I	n_true	5.0	0.8
1IDJ	n_true	4.0	0.0
1IG8	n_true	3.0	0.3333
1IGS	n_true	7.0	0.0
1IM5	n_true	9.0	0.1111
1INP	n_true	7.0	0.7143
1IT4	n_true	5.0	0.2
1ITX	n_true	4.0	0.0
1IU4	n_true	4.0	0.75
1J00	n_true	5.0	0.0
1J09	n_true	1.0	0.0
1J53	n_true	5.0	0.8
1JH6	n_true	6.0	0.6667
1JS4	n_true	4.0	0.25
1JU3	n_true	6.0	0.1667
1K0G	n_true	2.0	0.0
1K30	n_true	2.0	0.5
1KAZ	n_true	4.0	0.0
1KEI	n_true	7.0	0.7143
1KL7	n_true	1.0	0.0
1KQ3	n_true	4.0	0.5
