pdb_id	precision	recall	f1	n_predicted	n_true	mcsa_id	uniprot	rep_id	cluster_size
13PK	0.0000	0.0000	0.0000	4	4	40	P07378	A0A1V4ANC4	35481
1A26	0.0000	0.0000	0.0000	3	3	76	P26446	A0A369S7X1	1003
1A4L	0.5000	0.5000	0.5000	6	6	376	NOT_FOUND	NOT_FOUND	0
1A8H	0.2500	0.2500	0.2500	8	8	384	NOT_FOUND	NOT_FOUND	0
1ADN	0.7500	0.7500	0.7500	4	4	295	NOT_FOUND	NOT_FOUND	0
1AF7	0.5000	0.5000	0.5000	2	2	392	NOT_FOUND	NOT_FOUND	0
1AGM	0.0000	0.0000	0.0000	5	5	393	NOT_FOUND	NOT_FOUND	0
1AGY	0.4000	0.4000	0.4000	5	5	631	NOT_FOUND	NOT_FOUND	0
1AH7	1.0000	1.0000	1.0000	8	8	27	P09598	A0A7X7YT28	344
1AHB	0.3333	0.3333	0.3333	3	3	825	NOT_FOUND	NOT_FOUND	0
1AJ0	0.0000	0.0000	0.0000	2	2	394	NOT_FOUND	NOT_FOUND	0
1AK0	0.9000	0.9000	0.9000	10	10	395	NOT_FOUND	NOT_FOUND	0
1AKO	0.7143	0.7143	0.7143	7	7	160	NOT_FOUND	NOT_FOUND	0
1AM5	0.1429	0.1429	0.1429	7	7	396	NOT_FOUND	NOT_FOUND	0
1AMY	0.0000	0.0000	0.0000	3	3	397	NOT_FOUND	NOT_FOUND	0
1AOP	0.8750	0.8750	0.8750	8	8	398	NOT_FOUND	NOT_FOUND	0
1AQ2	0.7500	0.7500	0.7500	8	8	51	P22259	A0A849YS59	20300
1AST	0.8000	0.8000	0.8000	5	5	403	NOT_FOUND	NOT_FOUND	0
1B6B	0.0000	0.0000	0.0000	3	5	22	Q29495	A0A511N8N1	24573
1BF2	0.3750	0.3750	0.3750	8	8	421	NOT_FOUND	NOT_FOUND	0
1BG0	0.6250	0.6250	0.6250	8	8	86	P51541	A0A090KYR4	3660
1BH2	0.0000	0.0000	0.0000	0	5	533	NOT_FOUND	NOT_FOUND	0
1BIB	0.0000	0.0000	0.0000	3	3	538	NOT_FOUND	NOT_FOUND	0
1BIX	0.8750	0.8750	0.8750	8	8	510	NOT_FOUND	NOT_FOUND	0
1BOL	0.5000	0.5000	0.5000	6	6	426	NOT_FOUND	NOT_FOUND	0
1BOO	0.0000	0.0000	0.0000	3	3	427	NOT_FOUND	NOT_FOUND	0
1BQC	0.0000	0.0000	0.0000	7	7	428	NOT_FOUND	NOT_FOUND	0
1BS1	0.7500	0.7500	0.7500	8	8	74	P13000	I3EPN5	23241
1BS9	0.6000	0.6000	0.6000	5	5	431	NOT_FOUND	NOT_FOUND	0
1BSZ	0.0000	0.0000	0.0000	7	7	98	P0A6K3	A0A520LN00	3679
1BT3	0.0000	0.0000	0.0000	7	7	125	NOT_FOUND	NOT_FOUND	0
1BTL	0.6667	0.6667	0.6667	6	6	2	P62593	A0A318LI29	7254
1BU7	0.6667	0.6667	0.6667	3	3	699	NOT_FOUND	NOT_FOUND	0
1BVV	0.4000	0.4000	0.4000	5	5	432	NOT_FOUND	NOT_FOUND	0
1BVZ	0.3333	0.3333	0.3333	3	3	433	NOT_FOUND	NOT_FOUND	0
1BWZ	0.6000	0.6000	0.6000	5	5	334	NOT_FOUND	NOT_FOUND	0
1BYA	0.0000	0.0000	0.0000	5	5	436	NOT_FOUND	NOT_FOUND	0
1BZC	0.6000	0.6000	0.6000	5	5	469	NOT_FOUND	NOT_FOUND	0
1C82	0.5000	0.5000	0.5000	4	4	439	NOT_FOUND	NOT_FOUND	0
1CA2	0.6667	0.6667	0.6667	6	6	216	NOT_FOUND	NOT_FOUND	0
1CDG	0.0000	0.0000	0.0000	2	5	45	P43379	A0A6N6SP77	895
1CEL	0.2500	0.2500	0.2500	4	4	444	NOT_FOUND	NOT_FOUND	0
1CHD	0.0000	0.0000	0.0000	0	5	337	NOT_FOUND	NOT_FOUND	0
1CHK	0.0000	0.0000	0.0000	3	3	448	NOT_FOUND	NOT_FOUND	0
1CJY	0.2000	0.2000	0.2000	5	5	529	NOT_FOUND	NOT_FOUND	0
1CNS	0.0000	0.0000	0.0000	2	2	475	NOT_FOUND	NOT_FOUND	0
1COY	0.0000	0.0000	0.0000	3	3	354	NOT_FOUND	NOT_FOUND	0
1CV2	0.0000	0.0000	0.0000	5	5	467	NOT_FOUND	NOT_FOUND	0
1CVR	0.0000	0.0000	0.0000	4	4	806	NOT_FOUND	NOT_FOUND	0
1CWY	0.3333	0.3333	0.3333	3	3	479	NOT_FOUND	NOT_FOUND	0
1CZ1	0.5000	0.5000	0.5000	2	2	831	NOT_FOUND	NOT_FOUND	0
1CZF	0.0000	0.0000	0.0000	2	6	480	NOT_FOUND	NOT_FOUND	0
1D3G	0.0000	0.0000	0.0000	0	7	109	NOT_FOUND	NOT_FOUND	0
1D6M	0.5000	0.5000	0.5000	6	6	64	P14294	A0A832ZCE9	10097
1D6O	0.5000	0.5000	0.5000	6	6	362	NOT_FOUND	NOT_FOUND	0
1DE3	0.6667	0.6667	0.6667	3	3	832	NOT_FOUND	NOT_FOUND	0
1DEU	0.2500	0.2500	0.2500	4	4	953	NOT_FOUND	NOT_FOUND	0
1DGK	0.0000	0.0000	0.0000	3	3	696	NOT_FOUND	NOT_FOUND	0
1DGS	0.2222	0.2222	0.2222	9	9	450	NOT_FOUND	NOT_FOUND	0
1DI1	0.2000	0.2000	0.2000	5	5	261	NOT_FOUND	NOT_FOUND	0
1DIN	0.0000	0.0000	0.0000	7	7	492	NOT_FOUND	NOT_FOUND	0
1DJ1	0.3333	0.3333	0.3333	3	3	709	NOT_FOUND	NOT_FOUND	0
1DJX	0.0000	0.0000	0.0000	6	6	28	P10688	A0A4W5P1T5	442
1DLG	0.3333	0.3333	0.3333	6	6	369	NOT_FOUND	NOT_FOUND	0
1DNP	0.1667	0.1667	0.1667	6	6	183	NOT_FOUND	NOT_FOUND	0
1DPX	0.0000	0.0000	0.0000	6	6	203	NOT_FOUND	NOT_FOUND	0
1E0C	0.2857	0.2857	0.2857	7	7	505	NOT_FOUND	NOT_FOUND	0
1EA0	0.0000	0.0000	0.0000	6	6	304	NOT_FOUND	NOT_FOUND	0
1EB6	0.6000	0.6000	0.6000	5	5	596	NOT_FOUND	NOT_FOUND	0
1ECL	0.7143	0.7143	0.7143	7	7	366	NOT_FOUND	NOT_FOUND	0
1EH5	0.6000	0.6000	0.6000	5	5	522	NOT_FOUND	NOT_FOUND	0
1EH6	0.6000	0.6000	0.6000	5	5	251	NOT_FOUND	NOT_FOUND	0
1EPW	0.4000	0.4000	0.4000	5	5	626	NOT_FOUND	NOT_FOUND	0
1ESC	0.6000	0.6000	0.6000	5	5	556	NOT_FOUND	NOT_FOUND	0
1ET0	0.0000	0.0000	0.0000	3	3	305	NOT_FOUND	NOT_FOUND	0
1EU1	0.0000	0.0000	0.0000	2	2	701	NOT_FOUND	NOT_FOUND	0
1EUG	0.5000	0.5000	0.5000	4	4	71	P12295	A0A6C0BHA3	9195
1EUU	0.0000	0.0000	0.0000	0	3	835	NOT_FOUND	NOT_FOUND	0
1EX1	0.0000	0.0000	0.0000	2	2	790	NOT_FOUND	NOT_FOUND	0
1EXP	0.6000	0.6000	0.6000	5	5	548	NOT_FOUND	NOT_FOUND	0
1EYQ	0.2500	0.2500	0.2500	4	4	196	NOT_FOUND	NOT_FOUND	0
1EZF	0.0000	0.0000	0.0000	4	4	264	NOT_FOUND	NOT_FOUND	0
1F48	0.2857	0.2857	0.2857	7	7	799	NOT_FOUND	NOT_FOUND	0
1FA0	0.6667	0.6667	0.6667	6	6	796	NOT_FOUND	NOT_FOUND	0
1FCQ	0.2000	0.2000	0.2000	5	5	616	NOT_FOUND	NOT_FOUND	0
1FGH	0.1667	0.1667	0.1667	6	6	552	NOT_FOUND	NOT_FOUND	0
1FHL	0.0000	0.0000	0.0000	0	3	658	NOT_FOUND	NOT_FOUND	0
1FNB	0.2000	0.2000	0.2000	5	5	506	NOT_FOUND	NOT_FOUND	0
1FOA	0.0000	0.0000	0.0000	2	2	770	NOT_FOUND	NOT_FOUND	0
1FVA	0.4286	0.4286	0.4286	7	7	122	NOT_FOUND	NOT_FOUND	0
1FY2	0.8000	0.8000	0.8000	5	5	599	NOT_FOUND	NOT_FOUND	0
1G6T	0.0000	0.0000	0.0000	7	7	457	NOT_FOUND	NOT_FOUND	0
1G8P	0.0000	0.0000	0.0000	1	1	536	NOT_FOUND	NOT_FOUND	0
1GA8	0.5000	0.5000	0.5000	8	8	568	NOT_FOUND	NOT_FOUND	0
1GAL	1.0000	1.0000	1.0000	1	1	567	NOT_FOUND	NOT_FOUND	0
1GCU	0.3333	0.3333	0.3333	6	6	566	NOT_FOUND	NOT_FOUND	0
1GHS	0.2500	0.2500	0.2500	4	4	580	NOT_FOUND	NOT_FOUND	0
1GOJ	0.5714	0.5714	0.5714	7	7	779	NOT_FOUND	NOT_FOUND	0
1GP5	0.7500	0.7500	0.7500	4	4	685	NOT_FOUND	NOT_FOUND	0
1GQ8	0.0000	0.0000	0.0000	1	5	681	NOT_FOUND	NOT_FOUND	0
1GTK	0.1429	0.1429	0.1429	7	7	260	NOT_FOUND	NOT_FOUND	0
1H3I	0.2000	0.2000	0.2000	5	5	350	NOT_FOUND	NOT_FOUND	0
1HPL	0.2000	0.2000	0.2000	5	5	218	NOT_FOUND	NOT_FOUND	0
1HQC	0.0000	0.0000	0.0000	5	5	780	NOT_FOUND	NOT_FOUND	0
1HS6	0.8571	0.8571	0.8571	7	7	166	NOT_FOUND	NOT_FOUND	0
1I1I	0.8000	0.8000	0.8000	5	5	638	NOT_FOUND	NOT_FOUND	0
1IDJ	0.0000	0.0000	0.0000	4	4	590	NOT_FOUND	NOT_FOUND	0
1IG8	0.3333	0.3333	0.3333	3	3	651	NOT_FOUND	NOT_FOUND	0
1IGS	0.0000	0.0000	0.0000	6	7	252	NOT_FOUND	NOT_FOUND	0
1IM5	0.1111	0.1111	0.1111	9	9	716	NOT_FOUND	NOT_FOUND	0
1INP	0.7143	0.7143	0.7143	7	7	856	NOT_FOUND	NOT_FOUND	0
1IT4	0.2000	0.2000	0.2000	5	5	528	NOT_FOUND	NOT_FOUND	0
1ITX	0.0000	0.0000	0.0000	0	4	817	NOT_FOUND	NOT_FOUND	0
1IU4	0.7500	0.7500	0.7500	4	4	761	NOT_FOUND	NOT_FOUND	0
1J00	0.0000	0.0000	0.0000	5	5	755	NOT_FOUND	NOT_FOUND	0
1J09	0.0000	0.0000	0.0000	1	1	318	NOT_FOUND	NOT_FOUND	0
1J53	0.8000	0.8000	0.8000	5	5	754	NOT_FOUND	NOT_FOUND	0
1JH6	0.6667	0.6667	0.6667	6	6	794	NOT_FOUND	NOT_FOUND	0
1JS4	0.2500	0.2500	0.2500	4	4	559	NOT_FOUND	NOT_FOUND	0
1JU3	0.1667	0.1667	0.1667	6	6	465	NOT_FOUND	NOT_FOUND	0
1K0G	0.0000	0.0000	0.0000	2	2	283	NOT_FOUND	NOT_FOUND	0
1K30	0.5000	0.5000	0.5000	2	2	783	NOT_FOUND	NOT_FOUND	0
1KAZ	0.0000	0.0000	0.0000	4	4	656	NOT_FOUND	NOT_FOUND	0
1KEI	0.7143	0.7143	0.7143	7	7	176	NOT_FOUND	NOT_FOUND	0
1KL7	0.0000	0.0000	0.0000	1	1	730	NOT_FOUND	NOT_FOUND	0
1KQ3	0.5000	0.5000	0.5000	4	4	312	NOT_FOUND	NOT_FOUND	0
1L1L	0.5714	0.5714	0.5714	7	7	140	NOT_FOUND	NOT_FOUND	0
1L6P	0.1667	0.1667	0.1667	6	6	627	NOT_FOUND	NOT_FOUND	0
1L7N	0.1667	0.1667	0.1667	6	6	727	NOT_FOUND	NOT_FOUND	0
1L9X	0.6667	0.6667	0.6667	3	3	747	NOT_FOUND	NOT_FOUND	0
1LBM	0.5000	0.5000	0.5000	2	2	328	NOT_FOUND	NOT_FOUND	0
1LBU	0.4286	0.4286	0.4286	7	7	585	NOT_FOUND	NOT_FOUND	0
1LIJ	0.0000	0.0000	0.0000	2	2	209	NOT_FOUND	NOT_FOUND	0
1LJL	0.3571	0.3571	0.3571	14	14	143	NOT_FOUND	NOT_FOUND	0
1LML	1.0000	1.0000	1.0000	4	4	668	NOT_FOUND	NOT_FOUND	0
